near_miss_count=414
playlist_id	playlist_name	score	epg_id	epg_name
Arg: Ciudad Tv Resistencia	Arg: Ciudad Tv Resistencia	85.0	tv.in	TV
Arg: Quatro Tv Cordoba ᴬᴿᴳᴱᴺᵀᴵᴺᴬ	Arg: Quatro Tv Cordoba ᴬᴿᴳᴱᴺᵀᴵᴺᴬ	85.0	tv.in	TV
Arg: Espn Premium	Arg: Espn Premium	85.0	espn.mx	ESPN
Chile: Espn	Chile: Espn	85.0	espn.mx	ESPN
Chile: Tnt Sports Premium	Chile: Tnt Sports Premium	85.0	tnt.mx	TNT
Cuba Max Play	Cuba Max Play	85.0	max.ca	Max
Tele Rebelde	Tele Rebelde	85.0	teled.ch	Tele D
Prensa Latina	Prensa Latina	85.0	latina.pe	Latina ᴸᴵᴳᴬ ¹
Cubavision	Cubavision	85.0	Cubavisión.Internacional.es	Cubavision Internacional
Irib Tv 1	Irib Tv 1	85.0	tv.in	TV
Irib Tv 2	Irib Tv 2	85.0	tv.in	TV
Irib Tv 3	Irib Tv 3	85.0	tv.in	TV
Irib Tv 4	Irib Tv 4	85.0	tv.in	TV
Irib Tv 5	Irib Tv 5	85.0	5usa.uk	5 USA
Sᵘʳ Aᵐᵉʳⁱᶜᵃ | Mega Tv (perú)	Sᵘʳ Aᵐᵉʳⁱᶜᵃ | Mega Tv (perú)	85.0	mega.es	Mega
Monterrico Tv (eventos)	Monterrico Tv (eventos)	85.0	tv.in	TV
Tv Perú Noticias	Tv Perú Noticias	85.0	tv.in	TV
Bella Asuncion Tv	Bella Asuncion Tv	85.0	tv.in	TV
Best Cable Music	Best Cable Music	85.0	music.in	Music
Best Cable Sports Perú	Best Cable Sports Perú	85.0	sports.pk	sports
Lotplus Tv (piura)	Lotplus Tv (piura)	85.0	tv.in	TV
Controversia Tv (moyobamba)	Controversia Tv (moyobamba)	85.0	tv.in	TV
Nacional Tv (moyobamba)	Nacional Tv (moyobamba)	85.0	tv.in	TV
Exitosa Tv	Exitosa Tv	85.0	tv.in	TV
Trivu Tv Lima (peru)	Trivu Tv Lima (peru)	85.0	tv.in	TV
Genios Tv (moyobamba)	Genios Tv (moyobamba)	85.0	tv.in	TV
Huacho Perú Tv	Huacho Perú Tv	85.0	tv.in	TV
Nativa Tv Cable	Nativa Tv Cable	85.0	tv.in	TV
Identidad Tv	Identidad Tv	85.0	tv.in	TV
Region Tv	Region Tv	85.0	tv.in	TV
Autentica Tv	Autentica Tv	85.0	tv.in	TV
La Luz Tv	La Luz Tv	85.0	tv.in	TV
Emanuel Tv (pucallpa)	Emanuel Tv (pucallpa)	85.0	tv.in	TV
Telelima Tv (lima)	Telelima Tv (lima)	85.0	tv.in	TV
Millenium 49 Tv (pucallpa)	Millenium 49 Tv (pucallpa)	85.0	tv.in	TV
Satipo Nativa Tv	Satipo Nativa Tv	85.0	tv.in	TV
Monterrico Tv	Monterrico Tv	85.0	tv.in	TV
Canal Identidad Peruana	Canal Identidad Peruana	85.0	canal+.de	Canal+
Vz Tv Digital	Vz Tv Digital	85.0	tv.in	TV
Ovacion Tv	Ovacion Tv	85.0	tv.in	TV
Ovación Tv	Ovación Tv	85.0	tv.in	TV
Via Tv Alto Mayo	Via Tv Alto Mayo	85.0	tv.in	TV
Top Mix Tv	Top Mix Tv	85.0	tv.in	TV
Sistema 1 (huaraz)	Sistema 1 (huaraz)	85.0	スターチャンネル1.jp	スターチャンネル1
Dmj Cuzco Tv (huaraz)	Dmj Cuzco Tv (huaraz)	85.0	tv.in	TV
Planea Tv (lima)	Planea Tv (lima)	85.0	tv.in	TV
Super Canal (yurimaguas)	Super Canal (yurimaguas)	85.0	canal+.de	Canal+
Tpto Tv (tarapoto)	Tpto Tv (tarapoto)	85.0	tv.in	TV
Tv Cosmos	Tv Cosmos	85.0	tv.in	TV
Tv Peruanísima	Tv Peruanísima	85.0	tv.in	TV
Tv Perú Internacional Sdt	Tv Perú Internacional Sdt	85.0	tv.in	TV
Identidad Tv (chanchamayo)	Identidad Tv (chanchamayo)	85.0	tv.in	TV
Tropical Tv (puerto Maldonado)	Tropical Tv (puerto Maldonado)	85.0	tv.in	TV
Doble Aa Tv	Doble Aa Tv	85.0	tv.in	TV
Peru Liga 1 ᴴ.²⁶⁵	Peru Liga 1 ᴴ.²⁶⁵	85.0	スターチャンネル1.jp	スターチャンネル1
Liga 1 Max ᴸᴵᴳᴬ ¹	Liga 1 Max ᴸᴵᴳᴬ ¹	85.0	スターチャンネル1.jp	スターチャンネル1
Nativa Deportes (solo Eventos)	Nativa Deportes (solo Eventos)	85.0	M+.Deportes.es	M+ Deportes
Liga 1 ᴸᴵᴳᴬ ¹	Liga 1 ᴸᴵᴳᴬ ¹	85.0	スターチャンネル1.jp	スターチャンネル1
Nazarenas Tv Lima	Nazarenas Tv Lima	85.0	tv.in	TV
Wipr Canal 6	Wipr Canal 6	85.0	canal+.de	Canal+
Wapa	Wapa	85.0	M+.Deportes.es	Wapa Deportes
